Count,Word,Max. Freq.,Min. Freq.,This Word,Total,Key Term Score,Definition,Lexicon Entries
,ἦ,9.560,0,"149,38","47926,36","0,0704","in truth, of a surety","LSJ, Middle Liddell, Slater, Autenrieth"
,ἦ,9.560,0,"149,38","48075,73","0,0704",sum,"LSJ, Slater"
,ἤ,9.560,0,"149,38","48225,11","0,0704",or,"LSJ, Middle Liddell, Slater, Autenrieth"
,ἤ,9.560,0,"149,38","48374,48","0,0704",hi,"LSJ, Middle Liddell"
,ἦ,9.560,0,"149,38","48523,86","0,0704",[unavailable],LSJ
,ἦ,9.560,0,"149,38","48673,23","0,0704","surely, doubtless","LSJ, Autenrieth"
,ὅταν,149,149,149,"48822,23","0,0113",whenever,"LSJ, Middle Liddell, Slater, Autenrieth"
,δή,3.525,0,141,"48963,23","0,075",exactness,Middle Liddell
,δικαιοσύνη,140,140,140,"49103,23","0,0305","righteousness, justice,","LSJ, Middle Liddell"
100,ἀνάγκη,229,125,"138,75","49241,98","0,0129","force, constraint, necessity,","LSJ, Middle Liddell, Autenrieth"
,οἶδα,416,88,"136,5","49378,48","0,0102",to know,"LSJ, Middle Liddell, Slater, Autenrieth"
,ἤν,3.365,0,"134,6","49513,08","0,0591",if;,"LSJ, Autenrieth"
,ἤν,3.365,0,"134,6","49647,68","0,0591",see there!,"LSJ, Middle Liddell"
,τοίνυν,133,133,133,"49780,68","0,0108","therefore, accordingly,","LSJ, Middle Liddell, Slater"
,πράσσω,153,125,132,"49912,68","0,0054","pass through, pass over,","LSJ, Middle Liddell, Slater"
,μάλιστα,128,128,128,"50040,68","0,0043",[unavailable],"Middle Liddell, Autenrieth"
,μετά,138,120,122,"50162,68","0,0028",mip,"LSJ, Middle Liddell, Slater, Autenrieth"
,ὁράω,185,110,"121,87","50284,55","0,0035",Inscr. destombeaux des rois,"LSJ, Middle Liddell, Slater, Autenrieth"
,κακός,349,62,"119,25","50403,8","0,0118",bad,"LSJ, Middle Liddell, Slater, Autenrieth"
110,ἔτι,125,113,"114,33","50518,13","0,0027","yet, still","LSJ, Middle Liddell, Slater, Autenrieth"
,εἷς,412,57,"114,08","50632,21","0,0072",sem,"LSJ, Slater, Autenrieth"
,ὀρθός,302,48,"111,5","50743,71","0,0219","straight,","LSJ, Middle Liddell, Slater, Autenrieth"
,ἀναλάζομαι,1.700,0,"109,33","50853,05","0,0334","take again,","LSJ, Middle Liddell"
,ἡδονή,109,109,109,"50962,05","0,011","enjoyment, pleasure","LSJ, Middle Liddell"
,ἀλλήλων,107,107,107,"51069,05","0,007","of one another, to one another, one another","LSJ, Middle Liddell, Autenrieth"
,σῶμα,114,102,105,"51174,05","0,0046",body,"LSJ, Middle Liddell, Slater, Autenrieth"
,ἕτερος,104,104,104,"51278,05","0,0028",D Mort.,"LSJ, Middle Liddell, Slater, Autenrieth"
,μέντοι,103,103,103,"51381,05","0,0085","indeed, to be
            sure, however;","Middle Liddell, Autenrieth"
,τῷ,2.383,0,"99,1","51480,15","0,0187","therefore, in this wise, then,","LSJ, Middle Liddell, Autenrieth"
120,βούλομαι,173,77,"98,7","51578,85","0,0057","will, wish, be willing","LSJ, Middle Liddell, Slater, Autenrieth"
,σός,476,6,"98,07","51676,91","0,0183","thy, thine","LSJ, Middle Liddell, Slater, Autenrieth"
,τίθημι,194,90,"97,94","51774,85","0,0073",p,"LSJ, Middle Liddell, Slater, Autenrieth"
,ἕ,1.704,2,"97,33","51872,19","0,0134",sui.,"LSJ, Middle Liddell, Slater, Autenrieth"
,μηδείς,97,97,97,"51969,19","0,0033","not one, not even one, nobody","LSJ, Middle Liddell, Slater"
,μανθάνω,107,94,96,"52065,19","0,0073",learn,"LSJ, Middle Liddell, Slater, Autenrieth"
,ὅδε,122,90,"95,5","52160,69","0,0083","this,","LSJ, Middle Liddell, Slater, Autenrieth"
,πρότερος,419,57,"95,22","52255,9","0,0063","before, in front","LSJ, Middle Liddell, Slater, Autenrieth"
,ἄδικος,152,76,95,"52350,9","0,0204","wrongdoing, unrighteous, unjust","LSJ, Middle Liddell, Slater"
,ἀεί,94,94,94,"52444,9","0,0034","ever, always","LSJ, Middle Liddell, Slater, Autenrieth"
130,πολιτεία,94,94,94,"52538,9","0,0162","condition and rights of a citizen, citizenship,","LSJ, Middle Liddell"
,ὦ,834,0,"92,67","52631,57","0,0354",[unavailable],LSJ
,ὦ,834,0,"92,67","52724,24","0,0354",O! oh!,"LSJ, Middle Liddell, Slater, Autenrieth"
,ἧ,1.480,0,"92,5","52816,74","0,0176","where,",LSJ
,ἀκούω,202,83,"91,23","52907,97","0,0068",hear,"LSJ, Middle Liddell, Slater, Autenrieth"
,παῖς,153,86,"90,33","52998,3","0,0056",child,"LSJ, Middle Liddell, Slater, Autenrieth"
,ἵνα,90,90,90,"53088,3","0,0059","in that place, there","LSJ, Middle Liddell, Slater, Autenrieth"
,ἐθέλω,99,85,"88,5","53176,8","0,0049",to be willing,"LSJ, Middle Liddell, Slater, Autenrieth"
,δοκεύς,366,0,"87,75","53264,55","0,0175",[unavailable],LSJ
,μήτε,146,86,"87,67","53352,22","0,0088",and not,"LSJ, Middle Liddell, Slater, Autenrieth"
140,εἰ,2.173,0,"87,1","53439,32","0,0236",[unavailable],LSJ
