Count,Word,Max. Freq.,Min. Freq.,This Word,Total,Key Term Score,Definition,Lexicon Entries
,ἁπλόος,26,1,"6,83","78720,3","0,0058","twofold,","LSJ, Middle Liddell, Slater"
1.270,ἀλλοτριάζω,34,0,"6,83","78727,13","0,006",to be ill-disposed,LSJ
,ποικίλος,26,1,"6,83","78733,96","0,0044","many-coloured, spotted, pied, dappled,","LSJ, Middle Liddell, Slater, Autenrieth"
,σκυτότομος,34,0,"6,83","78740,8","0,0192","leather-cutter, worker in leather",LSJ
,καθίημι,59,0,"6,83","78747,63","0,0054","let fall, drop, send down","LSJ, Middle Liddell, Autenrieth"
,Ποίας,170,0,"6,8","78754,43","0,0418",[unavailable],Slater
,οἰκείω,87,0,"6,75","78761,18","0,0097",[unavailable],"LSJ, Middle Liddell"
,πλέος,96,0,"6,75","78767,93","0,0077",full.,"LSJ, Middle Liddell"
,δειλός,18,4,"6,75","78774,68","0,0035","cowardly,","LSJ, Middle Liddell, Autenrieth"
,μά,240,0,"6,67","78781,35","0,0453",[unavailable],LSJ
,μά,240,0,"6,67","78788,01","0,0453",[unavailable],LSJ
1.280,ζωγράφος,30,0,"6,67","78794,68","0,0122",one who paints from life,Middle Liddell
,ἀνθρωπόομαι,60,0,"6,67","78801,35","0,0061",to have the concept,LSJ
,ζώγραφος,30,0,"6,67","78808,01","0,0124",one who paints from life,LSJ
,μᾶ,240,0,"6,67","78814,68","0,0453",[unavailable],LSJ
,μᾶ,240,0,"6,67","78821,35","0,0453",[unavailable],Middle Liddell
,ὦσις,60,0,"6,67","78828,01","0,0137","thrusting, pushing,",LSJ
,κατάστασις,28,4,"6,67","78834,68","0,0092","settlement, establishment, institution","LSJ, Middle Liddell"
,μά,240,0,"6,67","78841,35","0,0453",by,"LSJ, Middle Liddell, Slater, Autenrieth"
,κακουργέω,12,6,"6,67","78848,01","0,0039","do evil, work wickedness","LSJ, Middle Liddell"
,παλαιός,12,6,"6,67","78854,68","0,001",old in years,"LSJ, Middle Liddell, Slater, Autenrieth"
1.290,βία,80,0,"6,6","78861,28","0,0087","bodily strength, force","LSJ, Middle Liddell, Slater"
,ἀξία,81,0,"6,5","78867,78","0,0073","worth, value,","LSJ, Middle Liddell"
,ἀσκέω,16,5,"6,5","78874,28","0,0027",work,"LSJ, Middle Liddell, Slater, Autenrieth"
,δοξαστός,8,6,"6,5","78880,78","0,0071","matter of opinion, conjectural,","LSJ, Middle Liddell"
,ἀλλοῖος,11,5,"6,5","78887,28","0,0049",of another sort,"LSJ, Middle Liddell, Slater, Autenrieth"
,θεοφιλής,8,6,"6,5","78893,78","0,0033","dear to the gods, highly favoured","LSJ, Middle Liddell, Slater"
,ἀνόσιος,11,5,"6,5","78900,28","0,0034","unholy, profane,","LSJ, Middle Liddell"
,ἀριθμέω,14,4,"6,5","78906,78","0,0034","number, count, reckon up,","LSJ, Middle Liddell, Slater, Autenrieth"
,ἱκάνω,36,0,"6,5","78913,28","0,0066",come,"LSJ, Middle Liddell, Slater, Autenrieth"
,ἐνδίδωμι,17,3,"6,5","78919,78","0,0016",give in,"LSJ, Middle Liddell"
1.300,πῦρ,17,3,"6,5","78926,28","0,0016",fire,"LSJ, Middle Liddell, Slater, Autenrieth"
,συντίθημι,11,5,"6,5","78932,78","0,0015",place,"LSJ, Middle Liddell, Slater, Autenrieth"
,διίστημι,8,6,"6,5","78939,28","0,0019","to set apart, to place separately, separate","Middle Liddell, Autenrieth"
,ὀνίνημι,8,6,"6,5","78945,78","0,0019",D Mort.,"LSJ, Middle Liddell, Autenrieth"
,ἄνευ,104,0,"6,5","78952,28","0,0106","without,","LSJ, Middle Liddell, Slater, Autenrieth"
,οἰκέτης,11,5,"6,5","78958,78","0,0018","household slave,","LSJ, Middle Liddell"
,ὕστερον,31,0,"6,5","78965,28","0,0022","the afterbirth,",LSJ
,ἀνδρίς,26,0,"6,5","78971,78","0,0028","woman,",LSJ
,σύμμαχος,11,5,"6,5","78978,28","0,0019","fighting along with, leagued","LSJ, Middle Liddell, Slater"
,μέμφομαι,8,6,"6,5","78984,78","0,0013","blame, censure","LSJ, Middle Liddell, Slater"
1.310,ἐκφεύγω,8,6,"6,5","78991,28","0,0017",flee out,"LSJ, Middle Liddell, Slater, Autenrieth"
,καταβαίνω,8,6,"6,5","78997,78","0,0014",go,"LSJ, Middle Liddell, Slater, Autenrieth"
,δαίμων,17,3,"6,5","79004,28","0,0022","god, goddess,","LSJ, Middle Liddell, Slater, Autenrieth"
,ἀθλητής,17,3,"6,5","79010,78","0,005","combatant, champion","LSJ, Middle Liddell"
,πρόθυμος,11,5,"6,5","79017,28","0,0019","ready, willing, eager,","LSJ, Middle Liddell"
,ἔλεγος,104,0,"6,5","79023,78","0,0166","song, melody","LSJ, Middle Liddell"
,πιστεύω,8,6,"6,5","79030,28","0,0008","trust, put faith in, rely on","LSJ, Middle Liddell"
,ἀνελευθερία,8,6,"6,5","79036,78","0,0049","illiberality of mind, servility,","LSJ, Middle Liddell"
,διατίθημι,8,6,"6,5","79043,28","0,0015",arrange,"LSJ, Middle Liddell"
,Ἀξιός,100,0,"6,42","79049,69","0,0079",[unavailable],Autenrieth
1.320,περαίνω,9,6,"6,33","79056,03","0,002","bring to an end, finish, accomplish","LSJ, Middle Liddell, Slater"
,στεφανόω,9,6,"6,33","79062,36","0,0013",to be put round in a circle,"LSJ, Middle Liddell, Slater, Autenrieth"
,κάτω,57,0,"6,33","79068,69","0,0088",downwards,"LSJ, Middle Liddell, Slater, Autenrieth"
,συνίστημι,12,5,"6,33","79075,03","0,0014",BJ Prooem.,"LSJ, Middle Liddell, Autenrieth"
,ἑταίρα,9,6,"6,33","79081,36","0,0017",a companion,"LSJ, Middle Liddell, Slater"
,προτίθημι,9,6,"6,33","79087,69","0,0017","set before, set out","LSJ, Middle Liddell, Autenrieth"
,ἀμήχανος,20,4,"6,33","79094,03","0,0051",without means,"LSJ, Middle Liddell, Autenrieth"
,χρυσίον,27,0,"6,33","79100,36","0,0055","a piece of gold,","LSJ, Middle Liddell"
,γῆρας,48,0,"6,25","79106,61","0,0085",old age,"Middle Liddell, Slater"
,γῆρας,48,0,"6,25","79112,86","0,0085",old age,"LSJ, Autenrieth"
1.330,ἐλέγχω,19,5,"6,25","79119,11","0,0026","disgrace, put to shame","LSJ, Middle Liddell, Slater, Autenrieth"
,δεῖνα,109,0,"6,17","79125,28","0,0107","such an one, so-and-so,","LSJ, Middle Liddell"
,ἔθος,19,5,"6,17","79131,44","0,0033","custom, habit","LSJ, Middle Liddell"
,λαβή,38,0,"6,17","79137,61","0,0029","the part intended for grasping, a handle, haft",Middle Liddell
,ἀγαπάζω,38,0,"6,17","79143,78","0,0062","treat with affection, receive with outward signs of love,","LSJ, Middle Liddell, Slater, Autenrieth"
,ἐπέοικε,66,0,"6,17","79149,94","0,0138","to be like, to suit",Middle Liddell
,διάζομαι,583,0,"6,13","79156,08","0,0314","set the warp in the loom,",LSJ
,ἀγών,66,5,"6,12","79162,2","0,0053","gathering, assembly","LSJ, Middle Liddell, Slater, Autenrieth"
,ἀκέω,106,0,"6,09","79168,29","0,0076",to be silent,LSJ
,ἀκέω,106,0,"6,09","79174,39","0,0076",[unavailable],LSJ
1.340,σιτίον,35,4,"6,08","79180,47","0,0092","grain, corn","LSJ, Middle Liddell"
,βεβαιόω,9,5,6,"79186,47","0,0019","confirm, establish, make good","LSJ, Middle Liddell"
,πρόκειμαι,6,6,6,"79192,47","0,0013","to be set before one,","LSJ, Middle Liddell, Autenrieth"
,διοικέω,12,4,6,"79198,47","0,003",keep house:,"LSJ, Middle Liddell"
,θνητός,6,6,6,"79204,47","0,0012","liable to death, mortal","LSJ, Middle Liddell, Autenrieth"
,συμμαχία,6,6,6,"79210,47","0,002","alliance, offensive and defensive","LSJ, Middle Liddell, Slater"
,ἀπληστία,6,6,6,"79216,47","0,0031","insatiate desire, greediness,","LSJ, Middle Liddell"
,κυβερνητικός,6,6,6,"79222,47","0,0041",good at steering,"LSJ, Middle Liddell"
,γέρας,6,6,6,"79228,47","0,001",gift of honour,"LSJ, Middle Liddell, Slater, Autenrieth"
,καταδουλόω,6,6,6,"79234,47","0,0025","reduce to slavery, enslave","LSJ, Middle Liddell"
1.350,παιδικός,6,6,6,"79240,47","0,0019",of a child,"LSJ, Middle Liddell"
,μεθίστημι,6,6,6,"79246,47","0,0011","place in another way, change","LSJ, Middle Liddell, Autenrieth"
,δημιουργία,9,5,6,"79252,47","0,0057","a making, creating",Middle Liddell
,προσδέω,29,0,6,"79258,47","0,0096",bind on,"LSJ, Middle Liddell"
,διεξέρχομαι,6,6,6,"79264,47","0,0015","go through, pass through,","LSJ, Middle Liddell"
,ἄνοια,6,6,6,"79270,47","0,0019",the character of an,"LSJ, Middle Liddell"
,ὅπλον,31,1,6,"79276,47","0,0036","tool, implement,","LSJ, Middle Liddell, Slater, Autenrieth"
,εἰρέω,54,0,6,"79282,47","0,0074",say,LSJ
,ἐπανορθόω,6,6,6,"79288,47","0,0018","set up again, restore,","LSJ, Middle Liddell"
,ζητητέος,6,6,6,"79294,47","0,0035",to be sought,"LSJ, Middle Liddell"
1.360,καταφρονέω,6,6,6,"79300,47","0,0009","look down upon, think slightly of","LSJ, Middle Liddell"
,λάθρῃ,6,6,6,"79306,47","0,0018","secretly, by stealth","LSJ, Middle Liddell, Autenrieth"
,γνώριμος,6,6,6,"79312,47","0,0013",well-known,"LSJ, Middle Liddell, Autenrieth"
,ὁπλή,31,1,6,"79318,47","0,004","hoof,","LSJ, Middle Liddell"
,προεῖπον,6,6,6,"79324,47","0,0015","foretell,","LSJ, Middle Liddell"
,διακωλύω,9,5,6,"79330,47","0,0031","hinder, prevent,","LSJ, Middle Liddell"
,προσδέω,29,0,6,"79336,47","0,0105",need besides,"LSJ, Middle Liddell"
,γυναικεῖος,6,6,6,"79342,47","0,0017",of,"LSJ, Middle Liddell, Slater, Autenrieth"
,κλέπτω,6,6,6,"79348,47","0,0014",clěpere,"LSJ, Middle Liddell, Slater, Autenrieth"
,ποταμός,6,6,6,"79354,47","0,0008","river, stream,","LSJ, Middle Liddell, Slater, Autenrieth"
1.370,κοῦφος,6,6,6,"79360,47","0,0013","light, nimble","LSJ, Middle Liddell, Slater, Autenrieth"
,περίειμι,6,6,6,"79366,47","0,001",to be around,"LSJ, Middle Liddell, Slater, Autenrieth"
,ἐντίκτω,6,6,6,"79372,47","0,0035",bear,"LSJ, Middle Liddell"
,μεγαλοπρέπεια,6,6,6,"79378,47","0,0034",magnificence,"LSJ, Middle Liddell"
,προσγίγνομαι,6,6,6,"79384,47","0,0017",attach oneself to,"LSJ, Middle Liddell"
,διασῴζω,6,6,6,"79390,47","0,0016",preserve through,LSJ
,διόλλυμι,6,6,6,"79396,47","0,0026","destroy utterly, bring to naught,","LSJ, Middle Liddell, Autenrieth"
,ἐπαίω,6,6,6,"79402,47","0,0028",to give ear to,Middle Liddell
,ἀλγηδών,6,6,6,"79408,47","0,0024","pain, suffering","LSJ, Middle Liddell"
,ὄγδοος,6,6,6,"79414,47","0,0022","eighth,","LSJ, Middle Liddell, Slater"
1.380,ἀπωθέω,6,6,6,"79420,47","0,0015","thrust away, push back,","LSJ, Middle Liddell, Slater, Autenrieth"
,παραγγέλλω,6,6,6,"79426,47","0,0016",pass on,"LSJ, Middle Liddell"
,ἄρσην,6,6,6,"79432,47","0,0014","NT,","LSJ, Middle Liddell, Autenrieth"
,θῆλυς,9,5,6,"79438,47","0,002",female,"LSJ, Middle Liddell, Slater, Autenrieth"
,ὁμοιότης,6,6,6,"79444,47","0,0018","likeness, resemblance,","LSJ, Middle Liddell"
,οὑτωσί,6,6,6,"79450,47","0,0023",[unavailable],Middle Liddell
,συνδοκέω,6,6,6,"79456,47","0,003","seem to one as to another, seem good also","LSJ, Middle Liddell"
,ἐπιπλήσσω,6,6,6,"79462,47","0,0025",strike,"LSJ, Middle Liddell, Autenrieth"
,Πολίτης,24,0,6,"79468,47","0,0041",[unavailable],Autenrieth
,τελευταῖος,6,6,6,"79474,47","0,0012",last,"LSJ, Middle Liddell, Slater"
1.390,προσχράομαι,6,6,6,"79480,47","0,0032",use,LSJ
,θέσις,6,6,6,"79486,47","0,0023","setting, placing","LSJ, Middle Liddell, Slater"
,κοινῇ,54,0,6,"79492,47","0,0108",[unavailable],Middle Liddell
,ἀρχήν,54,0,6,"79498,47","0,0047",[unavailable],"LSJ, Middle Liddell"
,ἀπαιτέω,6,6,6,"79504,47","0,0012","demand back, demand to have returned,","LSJ, Middle Liddell"
,ἀπολαύω,6,6,6,"79510,47","0,0011",have enjoyment of,"LSJ, Middle Liddell"
,εὐσχημοσύνη,6,6,6,"79516,47","0,004","gracefulness, elegance","LSJ, Middle Liddell"
,παρασκευή,12,4,6,"79522,47","0,0023",preparation,"LSJ, Middle Liddell"
,κωλύω,6,6,6,"79528,47","0,0007","hinder, prevent","LSJ, Middle Liddell, Slater"
,σοφόω,24,0,6,"79534,47","0,0049",[unavailable],LSJ
1.400,ὁποῖος,6,6,6,"79540,47","0,0011",of what sort,"LSJ, Middle Liddell, Slater, Autenrieth"
,συνοικέω,9,5,6,"79546,47","0,0023",dwell,"LSJ, Middle Liddell"
,κατοικίζω,6,6,6,"79552,47","0,0026","settle, establish","LSJ, Middle Liddell, Slater"
,ἐμαυτοῦ,6,6,6,"79558,47","0,0008","of me, of myself","LSJ, Middle Liddell"
,πατρίς,15,3,6,"79564,47","0,0012",of one's fathers,"LSJ, Middle Liddell, Slater, Autenrieth"
,βασιλεύω,6,6,6,"79570,47","0,0012","to be king, rule, reign,","LSJ, Middle Liddell, Slater, Autenrieth"
,ἴχνος,6,6,6,"79576,47","0,0015","track, footstep","LSJ, Middle Liddell, Slater, Autenrieth"
,μεταβαίνω,6,6,6,"79582,47","0,0018",pass over,"LSJ, Middle Liddell, Slater, Autenrieth"
,πρόβατον,14,5,6,"79588,47","0,0042","cattle,","LSJ, Middle Liddell, Slater, Autenrieth"
,διακελεύομαι,6,6,6,"79594,47","0,0027","exhort, give orders, direct,","LSJ, Middle Liddell"
1.410,ὀδυρμός,6,6,6,"79600,47","0,0032","lamentation,","LSJ, Middle Liddell"
,ἄνωθεν,6,6,6,"79606,47","0,0015","from above, from on high,","LSJ, Middle Liddell"
,ἄλλοθι,6,6,6,"79612,47","0,0027","elsewhere, in another place","LSJ, Middle Liddell, Slater, Autenrieth"
,δισσός,6,6,6,"79618,47","0,0018","twofold, double,","LSJ, Middle Liddell, Slater"
,σφόνδυλος,6,6,6,"79624,47","0,0047",vertebra,"LSJ, Middle Liddell"
,γηράσκω,38,2,6,"79630,47","0,0063",grow old,"LSJ, Middle Liddell, Autenrieth"
,ὀλιγαρχέω,6,6,6,"79636,47","0,0045","to be a member of an oligarchy,","LSJ, Middle Liddell"
,τεκμαίρομαι,6,6,6,"79642,47","0,0014","assign, ordain","LSJ, Middle Liddell, Autenrieth"
,φυλακός,50,0,"5,83","79648,3","0,0227",[unavailable],"LSJ, Middle Liddell"
,φύλαξις,25,0,"5,83","79654,14","0,0117","watching, guarding,","LSJ, Middle Liddell"
1.420,τρόφις,91,0,"5,83","79659,97","0,018","well-fed, stout, large,","LSJ, Middle Liddell, Autenrieth"
,γέμω,13,4,"5,83","79665,8","0,0043",to be full,"LSJ, Middle Liddell"
,ἀρχός,84,0,"5,83","79671,64","0,0156","leader, chief,","LSJ, Middle Liddell, Slater, Autenrieth"
,σιτέομαι,70,0,"5,83","79677,47","0,0139","to take food, eat",Middle Liddell
,δαιμόνιος,18,4,"5,83","79683,3","0,0034",of,"LSJ, Middle Liddell, Slater, Autenrieth"
,ἀθλέω,30,0,"5,83","79689,14","0,0065",having contended with,"LSJ, Middle Liddell, Autenrieth"
,σιτέω,70,0,"5,83","79694,97","0,0139","take food, eat","LSJ, Autenrieth"
,λέων,13,4,"5,83","79700,8","0,0027",lion,"LSJ, Middle Liddell, Slater, Autenrieth"
,τράπεζα,13,4,"5,83","79706,64","0,0026","table,","LSJ, Middle Liddell, Slater, Autenrieth"
,Δῖος,580,0,"5,8","79712,44","0,0313",[unavailable],"LSJ, Autenrieth"
1.430,δίω,580,0,"5,8","79718,24","0,0313","put to flight,","LSJ, Middle Liddell, Autenrieth"
,ἄνοος,213,0,"5,76",79724,"0,0206","without understanding, silly,","LSJ, Middle Liddell, Autenrieth"
,ἄλλῃ,92,0,"5,75","79729,75","0,0233","in another place, elsewhere","Middle Liddell, Autenrieth"
,ἔπαινος,26,2,"5,75","79735,5","0,0037","approval, praise, commendation,","LSJ, Middle Liddell, Slater"
,σκεῦος,32,0,"5,75","79741,25","0,0086",vessel,"LSJ, Middle Liddell"
,ἐπιστήμων,32,4,"5,75",79747,"0,0146","knowing, wise, prudent","LSJ, Middle Liddell, Autenrieth"
,κτείνω,59,1,"5,75","79752,75","0,0083","kill, slay","LSJ, Middle Liddell, Slater, Autenrieth"
,θεῖος,88,0,"5,72","79758,47","0,0111",one's father's,"LSJ, Middle Liddell"
,συνίημι,17,3,"5,67","79764,14","0,0021",bring,"LSJ, Middle Liddell, Slater, Autenrieth"
,βαρύς,11,5,"5,67","79769,81","0,0013","heavy in weight,","LSJ, Middle Liddell, Slater, Autenrieth"
1.440,ἐπιστατέω,11,5,"5,67","79775,47","0,0041",to be an,"LSJ, Middle Liddell, Slater"
,παραδέχομαι,13,3,"5,5","79780,97","0,0042",receive from,"LSJ, Middle Liddell, Autenrieth"
,θόρυβος,7,5,"5,5","79786,47","0,0016",noise,"LSJ, Middle Liddell, Slater"
,μηχανή,13,3,"5,5","79791,97","0,0029",contrivance,"LSJ, Middle Liddell"
,κατασκευή,7,5,"5,5","79797,47","0,0019",preparation,"LSJ, Middle Liddell"
,εὔχομαι,7,5,"5,5","79802,97","0,0008",pray,"LSJ, Middle Liddell, Slater, Autenrieth"
,ἀδυνατόω,32,0,"5,5","79808,47","0,0095",debilitate,LSJ
,συμβόλαιον,22,0,"5,5","79813,97","0,0089","mark, sign, token","LSJ, Middle Liddell"
,σφάλλω,7,5,"5,5","79819,47","0,0016","make to fall, overthrow","LSJ, Middle Liddell, Slater, Autenrieth"
,ὁμιλία,7,5,"5,5","79824,97","0,0017","intercourse, company,","LSJ, Middle Liddell"
1.450,διαφορά,7,5,"5,5","79830,47","0,0012","moving hither and thither,","LSJ, Middle Liddell"
,ἀγρός,7,5,"5,5","79835,97","0,0015",field,"LSJ, Middle Liddell, Slater, Autenrieth"
,νόθος,10,4,"5,5","79841,47","0,0036","bastard, baseborn,","LSJ, Middle Liddell, Slater, Autenrieth"
,συμβόλαιος,22,0,"5,5","79846,97","0,0088",of,"LSJ, Middle Liddell"
,γράμμα,7,5,"5,5","79852,47","0,001",that which is drawn,"LSJ, Middle Liddell"
,γάμος,19,1,"5,5","79857,97","0,0024",wedding,"LSJ, Middle Liddell, Slater, Autenrieth"
,ἁπλός,32,0,"5,5","79863,47","0,0056",[unavailable],LSJ
,ὁμόω,171,0,"5,5","79868,97","0,0073",unite,"LSJ, Middle Liddell, Autenrieth"
,δίαιτα,32,0,"5,5","79874,47","0,0062","way of living, mode of life,","LSJ, Middle Liddell, Slater"
,εὐωχέω,7,5,"5,5","79879,97","0,0027",entertain sumptuously,"LSJ, Middle Liddell"
1.460,ὁμός,171,0,"5,5","79885,47","0,0074","one and the same, common, joint,","LSJ, Middle Liddell, Autenrieth"
,θαρσέω,7,5,"5,5","79890,97","0,0008",to be of good courage,"LSJ, Middle Liddell, Slater, Autenrieth"
,ἀμαθής,7,5,"5,5","79896,47","0,0021","ignorant, stupid,","LSJ, Middle Liddell"
,ἔντιμος,7,5,"5,5","79901,97","0,0023","in honour, honoured,","LSJ, Middle Liddell"
,τρέω,70,0,"5,5","79907,47","0,0061","flee from fear, flee away","LSJ, Middle Liddell, Slater, Autenrieth"
,προπηλακίζω,7,5,"5,5","79912,97","0,0025","bespatter with mud,","LSJ, Middle Liddell"
,ἕβδομος,7,5,"5,5","79918,47","0,0022",seventh,"LSJ, Middle Liddell, Slater"
,δῶρον,7,5,"5,5","79923,97","0,0012","gift, present, gift of honour","LSJ, Middle Liddell, Slater, Autenrieth"
,σῖτος,38,2,"5,42","79929,39","0,0089",grain,"LSJ, Middle Liddell, Autenrieth"
,θυσία,39,1,"5,4","79934,79","0,007","burnt-offering, sacrifice","LSJ, Middle Liddell, Slater"
1.470,ἀλλοτριόω,28,0,"5,33","79940,12","0,0057",estrange from,"LSJ, Middle Liddell"
,κέντρον,8,5,"5,33","79945,46","0,0026",any sharp point,"LSJ, Middle Liddell, Slater, Autenrieth"
,τήκω,32,2,"5,33","79950,79","0,0045","melt, melt down","LSJ, Middle Liddell, Autenrieth"
,τεχνάομαι,48,0,"5,33","79956,12","0,0113","make by art, execute skilfully","LSJ, Middle Liddell"
,γεωργέω,20,1,"5,33","79961,46","0,0051","to be a husbandman, farmer","LSJ, Middle Liddell"
,δοκάζω,154,0,"5,3","79966,76","0,0158","wait for,",LSJ
,ἐσθίω,50,3,"5,3","79972,06","0,0043","eat,","LSJ, Middle Liddell, Autenrieth"
,πείρω,76,0,"5,3","79977,36","0,0052","pierce, run through","LSJ, Middle Liddell, Autenrieth"
,κύριος,40,0,"5,28","79982,64","0,0052",having power,"LSJ, Middle Liddell, Slater"
,κύριος,40,0,"5,28","79987,93","0,0052","a lord, master",Middle Liddell
1.480,παιδιή,36,0,"5,25","79993,18","0,0063","childish play, sport, game, pastime",Middle Liddell
,ἀναγκαίη,70,0,"5,25","79998,43","0,0115","necessity,
            constraint;","LSJ, Autenrieth"
,τοι,84,0,"5,25","80003,68","0,0099","let me tell you, mark you, look you","LSJ, Middle Liddell, Slater"
,τοι,84,0,"5,25","80008,93","0,0099",[unavailable],LSJ
,παιδία,36,0,"5,25","80014,18","0,0063",childhood,LSJ
,ὄργανος,57,0,"5,17","80019,34","0,0145","working, forming,","LSJ, Middle Liddell"
,πάθη,24,0,"5,17","80024,51","0,0026",passive state,"LSJ, Middle Liddell"
,ἐπώχατο,20,3,"5,17","80029,68","0,0025",were kept shut,"Middle Liddell, Autenrieth"
,ὄργανον,57,0,"5,17","80034,84","0,0145","instrument, implement, tool, for making","LSJ, Middle Liddell, Slater"
,φανή,106,0,"5,12","80039,96","0,0231","torch,","LSJ, Middle Liddell"
1.490,φορά,20,4,"5,07","80045,03","0,0047","an act,","LSJ, Middle Liddell, Slater"
,ἐπίσταμαι,45,1,"5,07","80050,09","0,0049",know,"LSJ, Middle Liddell, Slater, Autenrieth"
,γυναικωνῖτις,80,0,5,"80055,09","0,0105",women's apartments,"LSJ, Middle Liddell"
,ὀνειδίζω,5,5,5,"80060,09","0,0013",cast in,"LSJ, Middle Liddell, Autenrieth"
,γνωρίζω,5,5,5,"80065,09","0,0013","make known, point out","LSJ, Middle Liddell"
,ἀποδιδράσκω,5,5,5,"80070,09","0,0012","run away, escape","LSJ, Middle Liddell, Autenrieth"
,βάπτω,16,3,5,"80075,09","0,005","dip,","LSJ, Middle Liddell, Autenrieth"
,λυπηρός,5,5,5,"80080,09","0,0017","painful, distressing","LSJ, Middle Liddell"
,διαγιγνώσκω,5,5,5,"80085,09","0,0014","know one from the other, distinguish, discern,","LSJ, Middle Liddell, Autenrieth"
,θανάσιμος,5,5,5,"80090,09","0,0023","deadly, fatal","LSJ, Middle Liddell"
1.500,ἀναλαμβάνω,5,5,5,"80095,09","0,0007","take up, take into one's hands,","LSJ, Middle Liddell"
,συνοίομαι,5,5,5,"80100,09","0,0049","hold the same opinion, assent","LSJ, Middle Liddell"
,πίστις,5,5,5,"80105,09","0,0008",trust,"LSJ, Middle Liddell"
,γνήσιος,5,5,5,"80110,09","0,0014",belonging to the race,"LSJ, Middle Liddell, Slater, Autenrieth"
,προοίμιον,5,5,5,"80115,09","0,0018","opening, introduction;","LSJ, Middle Liddell, Slater"
,προσποιέω,5,5,5,"80120,09","0,0011","make over to, add","LSJ, Middle Liddell"
,φιλοτιμία,5,5,5,"80125,09","0,0011",love of honour,"LSJ, Middle Liddell, Slater"
,πτωχός,5,5,5,"80130,09","0,0019",beggar,"LSJ, Middle Liddell, Autenrieth"
,ὄνειδος,5,5,5,"80135,09","0,0013","reproach, rebuke, censure, blame,","LSJ, Middle Liddell, Slater, Autenrieth"
,ἐμβάλλω,5,5,5,"80140,09","0,0005",throw in,"LSJ, Middle Liddell, Slater, Autenrieth"
1.510,ἀλγέω,8,4,5,"80145,09","0,002","feel bodily pain, suffer","LSJ, Middle Liddell, Autenrieth"
,εἶτα,29,4,5,"80150,09","0,0011","then, next,","LSJ, Middle Liddell"
,γραφικός,5,5,5,"80155,09","0,0025",capable of drawing,"LSJ, Middle Liddell"
,θρέμμα,5,5,5,"80160,09","0,002","nursling, creature","LSJ, Middle Liddell, Slater"
,ἐπιτείνω,5,5,5,"80165,09","0,0016",stretch upon,"LSJ, Middle Liddell"
,γεωμετρικός,5,5,5,"80170,09","0,0028",of,"LSJ, Middle Liddell"
,μεταστρέφω,5,5,5,"80175,09","0,0022","turn about, turn round","LSJ, Middle Liddell, Autenrieth"
,ὁπόθεν,5,5,5,"80180,09","0,0019","whence, from what place,","LSJ, Middle Liddell, Slater"
,εἰρηνέω,20,0,5,"80185,09","0,0034",[unavailable],LSJ
,συγγιγνώσκω,5,5,5,"80190,09","0,0019","think with, agree with","LSJ, Middle Liddell"
1.520,εἰσφέρω,5,5,5,"80195,09","0,0012","carry in,","LSJ, Middle Liddell, Autenrieth"
,ὄχλος,8,4,5,"80200,09","0,0015","crowd, throng","LSJ, Middle Liddell, Slater"
,ἔστε,35,0,5,"80205,09","0,0064","up to the time that, until,","LSJ, Middle Liddell"
,ἀποτελέω,5,5,5,"80210,09","0,0017","bring to an end, complete","LSJ, Middle Liddell"
,ὑπερβάλλω,5,5,5,"80215,09","0,0007",throw over,"LSJ, Middle Liddell, Slater, Autenrieth"
,δημοτικός,5,5,5,"80220,09","0,0015",of,Middle Liddell
,νεανικός,11,3,5,"80225,09","0,0044","youthful,","LSJ, Middle Liddell"
,ἐκπλήσσω,8,4,5,"80230,09","0,0013","strike out of, drive away from, expel,","LSJ, Middle Liddell, Autenrieth"
,ἀσύμφορος,5,5,5,"80235,09","0,0027","inconvenient, prejudicial,","LSJ, Middle Liddell"
,περιφορά,5,5,5,"80240,09","0,0027",carrying round,"LSJ, Middle Liddell"
1.530,νύξ,5,5,5,"80245,09","0,0005",night,"LSJ, Middle Liddell, Slater, Autenrieth"
,ἀντιλαμβάνω,5,5,5,"80250,09","0,0015","receive instead of,","LSJ, Middle Liddell"
,γοητεύω,5,5,5,"80255,09","0,003","bewitch, beguile","LSJ, Middle Liddell"
,γυναικόω,80,0,5,"80260,09","0,0111","make effeminate,",LSJ
,προκαλέω,5,5,5,"80265,09","0,0013","call forth,","LSJ, Middle Liddell"
,εἰρήνη,20,0,5,"80270,09","0,0033",peace,"LSJ, Middle Liddell, Autenrieth"
,ἀπατάω,11,3,5,"80275,09","0,0023","cheat, deceive,","LSJ, Middle Liddell, Slater, Autenrieth"
,ἐδωδή,5,5,5,"80280,09","0,0027","food, meat, victuals","LSJ, Middle Liddell, Autenrieth"
,συγγνώμη,5,5,5,"80285,09","0,0012","fellow-feeling, forbearance, lenient judgement, allowance","LSJ, Middle Liddell"
,ἐλλείπω,5,5,5,"80290,09","0,0014",leave in,"LSJ, Middle Liddell"
1.540,ἁπτέον,5,5,5,"80295,09","0,0049",one must cling to,LSJ
,ὀλίγιστος,5,5,5,"80300,09","0,0028",[unavailable],"LSJ, Middle Liddell, Autenrieth"
,στόμα,5,5,5,"80305,09","0,0006",mouth,"LSJ, Middle Liddell, Slater, Autenrieth"
,οὐδαμῇ,20,0,5,"80310,09","0,0097","nowhere, in no place",LSJ
