Lexical Form,"Alternative (e.g., Contracted) Form",Gloss,Part of Speech,Chapter(s)
βαδίζω,,walk; go,ῥῆμα,1
καθίζω,,"sit, set, place",ῥῆμα,"1, 8"
φέρω,,carry,ῥῆμα,1
ὁ ἥλιος,,sun,ὄνομα,1
ὁ χρόνος,,time,ὄνομα,1
αὐτόν,,him; it,ἀντωνυμία,1
ἰσχυρός,,strong,ἐπίθετον,1
χαλεπός,,"difficult; cruel, fierce",ἐπίθετον,1
οἰκέω,οἰκῶ,"live, dwell",ῥῆμα,1
ὁ ἀγρός,,"field, land, countryside",ὄνομα,1
ὁ αὐτουργός,,farmer,ὄνομα,1
γεωργέω,γεωργῶ,"cultivate (earth), till (soil)",ῥῆμα,1
οὖν,,"so, then, therefore; certainly, really",μόριον,1
ὁ κλῆρος,,"farm, lot; allotment",ὄνομα,1
καταδύνω,καταδύω,"go down, sink, (sun) set",ῥῆμα,1
κατατρίβω,,exhaust; wear out/away,ῥῆμα,1
πονέω,πονῶ,work hard; toil,ῥῆμα,1
σκάπτω,,dig,ῥῆμα,1
φιλέω,φιλῶ,"love, like; kiss; enjoy",ῥῆμα,1
φλέγω,,"burn, kindle, inflame; arouse",ῥῆμα,1
ὁ μόσχος,,"calf, young bull",ὄνομα,1
ὁ πόνος,,(hard) work; exercise,ὄνομα,1
ὁ σῖτος,,"grain, bread, food",ὄνομα,1
ἄοκνος,,"resolute, without hesitation",ἐπίθετον,1
ἀπέραντος,,"endless, boundless, vast",ἐπίθετον,1
ἐκβαίνω,,step out; come out,ῥῆμα,2
ἐλαύνω,,drive,ῥῆμα,2
ἐλθέ,,come!,ῥῆμα,2
καθεύδω,,sleep,ῥῆμα,2
καλῶ,,call,ῥῆμα,2
πάρειμι,,"be present, here, there",ῥῆμα,2
σπεύδω,,hurry,ῥῆμα,2
τὸ ἄροτρον,,plow,ὄνομα,2
ὁ δοῦλος,,slave,ὄνομα,2
ἐγώ,,I,ὄνομα,2
ἀργός,,"lazy, idle (also white/bright)",ἐπίθετον,2
μή,,"not, don't",ἐπίρρημα,2
οὕτω(ς),,"so, thus",ἐπίρρημα,2
τί;,,what?,ἐπίρρημα,2
μέν...δέ,,on the one hand...on the other hand,μόριον,2
ἄγω,,lead; take,ῥῆμα,2
βαίνω,,step; walk; go,ῥῆμα,2
βλέπω,,look; see,ῥῆμα,2
λαμβάνω,,take,ῥῆμα,"2, 11"
συλλαμβάνω,,help,ῥῆμα,2
ὁ βοῦς,,ox,ὄνομα,2
τὸ δένδρον,,tree,ὄνομα,2
ὁ δεσπότης,,master,ὄνομα,2
εἰς,,into; to; at,πρόθεσις,2
βραδέως,,slowly,ἐπίρρημα,2
ἔπειτα,,"then, thereafter",ἐπίρρημα,2
ἤδη,,already; now,ἐπίρρημα,2
ἅπτω,,"join, fasten to, bind",ῥῆμα,2
προσάπτω,,"fasten/attach to; bestow upon, grant",ῥῆμα,2
ἀροτρεύω,"ἀρόω, ἀρῶ",plow (the earth/field),ῥῆμα,2
εἰσβαίνω,,enter (go into),ῥῆμα,2
κεντέω,κεντῶ,"prick, goad, stab, torment",ῥῆμα,2
πληθύνω,πληθύω,"increase, multiply",ῥῆμα,2
τὸ κέντρον,,"sharp point; goad, spike; sting",ὄνομα,2
ἡ ῥάβδος,,"rod, staff, stick; shaft",ὄνομα,2
ἡ σκιά,,"shadow, shade",ὄνομα,2
τὸ σπέρμα,,"seed, semen",ὄνομα,2
ἵλεως,ἵλαος,"gracious, merciful; kind, gentle",ἐπίθετον,2
κατάρατος,,"accursed, abominable",ἐπίθετον,2
ἕωθεν,,early in the morning,ἐπίρρημα,2
μένω,,stay; wait; wait for,ῥῆμα,3
πίπτω,,fall,ῥῆμα,3
προσχωρέω,προσχωρῶ,"go toward, approach (+dat)",ῥῆμα,3
φησί(ν),,(s)he says,ῥῆμα,3
ὁ λίθος,,stone,ὄνομα,3
αὐτό,,it,ἀντωνυμία,3
αἴτιος,,responsible (for); to blame,ἐπίθετον,3
μέγας,,"big, large; great",ἐπίθετον,3
ἐκ,,out of (+gen),πρόθεσις,3
αὖθις,,again,ἐπίρρημα,3
δεῦρο,,"here, hither",ἐπίρρημα,3
ἔτι,,still,ἐπίρρημα,3
οὐκέτι,,no longer,ἐπίρρημα,3
τε...καί,,both...and,μόριον,3
λείπω,,leave,ῥῆμα,"3, 11"
λύω,,"loosen, loose",ῥῆμα,3
τὸ δεῖπνον,,dinner,ὄνομα,3
ὁ/ἡ παῖς,,child,ὄνομα,3
ὁ πατήρ,,father,ὄνομα,3
σύ,,you,ἀντωνυμία,3
ἀνδρεῖος,,brave,ἐπίθετον,3
πολλοί,,many (masc.),ἐπίθετον,3
τοσοῦτος,,so great; so many,ἐπίθετον,3
ἐν,,in; on,πρόθεσις,3
μηκέτι,,any longer,ἐπίρρημα,3
ἐπεί,,when; since,σύνδεσμος,3
δρέπω,,"pick, pluck",ῥῆμα,3
ἐκφέρω,,bring/carry out,ῥῆμα,3
ἐμποδίζω,,"hinder, thwart, prevent",ῥῆμα,3
ἐξετάζω,,"examine, question; estimate",ῥῆμα,3
θεραπεύω,,"attend, serve, heal",ῥῆμα,3
καταβάλλω,,"drop, (over)throw; reject; slay",ῥῆμα,3
κατασείω,,shake/throw down,ῥῆμα,3
ὀλισθάνω,,"slip (and fall), slide",ῥῆμα,3
πταίω,,"stumble, trip, fall",ῥῆμα,3
ῥᾳδιουργέω,ῥᾳδιουργῶ,do easily/lazily; misbehave,ῥῆμα,3
σπείρω,,sow,ῥῆμα,3
φλυαρέω,φλυαρῶ,babble; play the fool,ῥῆμα,3
φυτεύω,,"plant; beget; produce, cause",ῥῆμα,3
ἡ ἄμπελος,,(grape)vine; vineyard,ὄνομα,"3, 30"
ὁ ἄροτος,,crop; plowing; season,ὄνομα,3
ὁ γεωργός,,farmer,ὄνομα,3
ἡ ἐλαία,,olive (tree),ὄνομα,3
τὸ ἔλαιον,,olive oil,ὄνομα,3
ὁ σάκκος,,sack(cloth),ὄνομα,3
ἀκίνητος,,"unmoved, motionless, idle",ἐπίθετον,3
σκαιός,,left (side); west; unlucky; clumsy; stupid,ἐπίθετον,3
μαστιγίας,μαστιγίης,worthless slave; sorry knave,ὄνομα,3
ἀκούω,,listen (to); hear (person +gen / thing +acc),ὄνομα,4
ἐθέλω,,be willing; wish,ὄνομα,4
ἔχω,,have;hold,ὄνομα,4
θεωρέω,θεωρῶ,watch; see,ὄνομα,4
ποιέω,ποιῶ,make; do,ὄνομα,4
χαίρω,,rejoice,ὄνομα,4
χαῖρε(τε),,greetings!,ὄνομα,4
ὁ ἄγγελος,,messenger,ὄνομα,4
ὁ ἀνήρ,,man; husband,ὄνομα,4
ἡ γυνή,,woman; wife,ὄνομα,4
ἡ ἑορτή,,festival,ὄνομα,4
ἡ θυγάτηρ,,daughter,ὄνομα,4
ὁ καιρός,,time; right time,ὄνομα,4
ἡ κρήνη,,spring,ὄνομα,4
ἡ ὑδρία,,water jar,ὄνομα,4
ὁ χορός,,dance; chorus,ὄνομα,4
ἀπό,,from (+gen),ὄνομα,4
πρός,,"at, near, by (+dat); to, toward; against (+acc)",ὄνομα,4
ἰδού,,look!,ὄνομα,4
μάλα,,very,ἐπίρρημα,4
μόλις,,with difficulty; scarcely; reluctantly,ὄνομα,4
ταχέως,,"quickly, swiftly",ἐπίρρημα,4
ἐν νῷ ἔχω,,have in mind; intend,λόγος,4
πείθω,,persuade,ῥῆμα,4
στενάζω,,groan,ῥῆμα,4
ἡ γῆ,,land; earth; ground,ὄνομα,4
ἡ ὁδός,,road; way; journey,ὄνομα,4
ἄλλος,,"other, another",ὄνομα,4
ῥᾴδιος,,easy,ἐπίθετον,4
ἀεί,,always,ἐπίρρημα,4
μάλιστα,,most (of all); very much; especially,ἐπίθετον,4
οἴκαδε,,homeward,ἐπίθετον,4
ἀγανακτέω,ἀγανακτῶ,"feel violent irritation, be angry (at)",ῥῆμα,4
ἀγαπάω,ἀγαπῶ,"show affection, be fond of, love",ῥῆμα,4
ἀμέλγω,,"milk, drain; drink",ῥῆμα,4
ἀνατέλλω,,(make) rise (up); bring forth,ῥῆμα,4
γεμίζω,,"fill, load",ῥῆμα,4
διαπεράω,διαπερῶ,go over/across; pass through,ῥῆμα,4
θραύω,,"break, shatter",ῥῆμα,4
κολάζω,,"punish, correct",ῥῆμα,4
οἰκοδομέω,οἰκοδομῶ,build (up/a house); embolden,ῥῆμα,4
παίζω,,play; joke; dance,ῥῆμα,4
πιέζω,,"squeeze, (re)press, stifle",ῥῆμα,4
προσκλύζω,,wash with waves,ῥῆμα,4
σχολάζω,,have leisure; linger; be vacant,ῥῆμα,4
χαλεπαίνω,,"be severe, violent; sorely angry",ῥῆμα,4
ψέγω,,"blame, censure",ῥῆμα,4
ἄγροικος,,rustic; countryman; uncultivated,ἐπίθετον,4
τὸ αὔλιον,,"cottage; stable; chamber, cave",ὄνομα,4
ἡ δέσποινα,,"mistress, lady of the house",ὄνομα,4
τὸ ἐργαστήριον,,"workplace, workshop; mine, quarry",ὄνομα,4
τὸ καπηλεῖον,,"shop, esp. tavern",ὄνομα,4
ἡ κλίνη,,"bed, couch",ὄνομα,4
τὸ σῦκον,,fig; vulva,ὄνομα,4
ἄθλιος,ἀέθλιος,"struggling, wretched, miserable",ἐπίθετον,4
ἄτοπος,,"out of place, unusual, unnatural",ἐπίθετον,4
καρποφόρος,,fruitful,ἐπίθετον,4
μεστός,,full,ἐπίθετον,4
αὐτίκα,,"straightway, at once",ἐπίρρημα,"4, 27"
ἑορτὴν ἄγω,"ἑορτὴν ποιῶ, ἑορτὴν ποιέω",celebrate a festival,λόγος,4
μὰ τὸν Δία,,by Zeus!,λόγος,4
ὅλην τὴν ἡμέραν,,all day,λόγος,4
οὐδὲν ἧττον,οὐδὲν ἧσσον,even more,λόγος,4
ποῖ (βαίνεις) καὶ πόθεν (ἥκεις);,,where to and where from?,λόγος,4
συνθήκην ἐποιήσατο πρός τινα ξένον,,made a deal/agreement with a certain foreigner,λόγος,4
ἄπειμι,,be away (from),ῥῆμα,5
βοάω,βοῶ,shout,ῥῆμα,5
διώκω,,"pursue, chase",ῥῆμα,5
ζητέω,ζητῶ,"seek, look for",ῥῆμα,5
ἴθι-ἴτε,,go!,ῥῆμα,5
ὁράω,ὁρῶ,see,ῥῆμα,5
τιμάω,τιμῶ,honor,ῥῆμα,5
τρέχω,,run,ῥῆμα,"5, 18"
φεύγω,,flee; escape,ῥῆμα,5
φυλάττω,,guard,ῥῆμα,5
ὁ/ἡ κύων,,dog,ὄνομα,5
ὁ λύκος,,wolf,ὄνομα,5
ἡ οἰκία,,house; home,ὄνομα,5
τὸ ὄρος,,mountain; hill,ὄνομα,5
ὁ πάππος,,grandfather,ὄνομα,5
τὰ πρόβατα,,sheep,ὄνομα,5
ἄκρος,,top (of),ἐπίθετον,5
ῥάθυμος,,careless,ἐπίθετον,5
ἀνά,,up (+acc),πρόθεσις,5
κατά,,down (+acc),πρόθεσις,5
ποῦ,,where?,ἐπίρρημα,5
οὐδέ,,and...not; nor; not even,σύνδεσμος,5
οὔτε...οὔτε,,neither...nor,σύνδεσμος,5
ὥστε,,"(so) that, so as to",σύνδεσμος,5
δι ̓ ὀλίγου,,soon,λόγος,5
γιγνώσκω,,"get to know, learn",ῥῆμα,5
ἥκω,,have come,ῥῆμα,5
θαυμάζω,,am amazed; wonder at; admire,ῥῆμα,5
πάσχω,,suffer; experience,ῥῆμα,5
τύπτω,,"strike, hit",ῥῆμα,5
ὁ μῦθος,,story,ὄνομα,5
ἡμεῖς,,we,ἀντωνυμία,5
ὑμεῖς,,you,ἀντωνυμία,5
ἀγαθός,,good,ἐπίθετον,5
ἄγριος,,savage; wild; fierce,ἐπίθετον,5
πρῶτος,,first,ἐπίθετον,5
ὑπό,,"under, by (+acc/dat); underneath, from, by (+gen)",πρόθεσις,5
ἐνταῦθα,,then; here; there,ἐπίρρημα,5
νῦν,,now,ἐπίρρημα,5
καί...καί,,both...and,σύνδεσμος,5
ὅτι,,that,σύνδεσμος,5
ἀθυμέω,ἀθυμῶ,"lose heart, be despondent",ῥῆμα,5
ἀσπαίρω,,"gasp, pant, struggle",ῥῆμα,5
ἔνειμι,,be in/among; be possible,ῥῆμα,5
ἐπιθυμέω,ἐπιθυμῶ,"desire, want (to)",ῥῆμα,5
θορυβέω,θορυβῶ,make noise; trouble,ῥῆμα,5
καταβαίνω,,go/come down,ῥῆμα,5
καταπίπτω,,"fall, drop (down)",ῥῆμα,5
ὑλακτέω,ὑλακτῶ,bark,ῥῆμα,5
ἡ βακτηρία,,"rod, staff, cane",ὄνομα,5
ὁ κῆπος,,garden; female genitals,ὄνομα,5
ὁ λαγώς,,hare; coward,ὄνομα,5
ἡ μαμμία,,mother,ὄνομα,5
τὸ μειράκιον,,"boy, lad",ὄνομα,5
ὁ ψόφος,,"noise, sound",ὄνομα,5
ὀδάξ,,with teeth (by biting),ἐπίρρημα,5
ἄκρον τὸ ὄρος,,the top of the mountain,λόγος,5
ἐνταῦθα δή,,"at that very moment, then",λόγος,5
ἴθι δή,,go on!,λόγος,5
ἀποκτείνω,,kill,ῥῆμα,6
ἀφικνέομαι,,arrive (at),ῥῆμα,6
βασιλεύω,,rule,ῥῆμα,6
βοηθέω,βοηθῶ,come to rescue/aid (+dat),ῥῆμα,6
βούλομαι,,want; wish,ῥῆμα,6
γίγνομαι,,become,ῥῆμα,6
δέχομαι,,receive,ῥῆμα,6
ἐκφεύγω,,"flee out, escape",ῥῆμα,6
ἔρχομαι,,come; go,ῥῆμα,6
ἀπέρχομαι,,go away,ῥῆμα,6
πείθομαι,,obey (+dat),ῥῆμα,6
πέμπω,,send,ῥῆμα,6
πλέω,,sail,ῥῆμα,6
σῴζω,,save,ῥῆμα,6
φοβέομαι,φοβοῦμαι,"am frightened, afraid; fear",ῥῆμα,6
ὁ βασιλεύς,,king,ὄνομα,6
ὁ ἑταῖρος,,companion,ὄνομα,6
ἡ ἡμέρα,,day,ὄνομα,6
ἡ ναῦς,,ship,ὄνομα,6
ἡ νῆσος,,island,ὄνομα,6
ἡ νύξ,,night,ὄνομα,6
ὁ πάππας,,papa,ὄνομα,6
ἡ παρθένος,,maiden; girl,ὄνομα,6
μετά,,with (+gen); after (+acc),πρόθεσις,6
ἐκεῖ,,there,ἐπίρρημα,6
αἱ Ἀθῆναι,,Athens,ὄνομα,6
ἐξέρχομαι,,come/go out of,ῥῆμα,6
μάχομαι,,fight,ῥῆμα,6
παρέχω,,"hand over; supply, provide",ῥῆμα,6
πορεύομαι,,go; walk; march; journey,ῥῆμα,6
προχωρέω,προχωρῶ,"go forward; come forward, advance",ῥῆμα,6
φασί(ν),,they say,ῥῆμα,6
αἱ πύλαι,,double gates,ὄνομα,6
οὐδαμῶς,,"in no way, no",ἐπίρρημα,6
πολλάκις,,"many times, often",ἐπίρρημα,6
ὡς,,"as, when, that, to, how...!",ἐπίρρημα,6
γε,,at least (restrictive); indeed (intensive),μόριον,6
δή,,"indeed, in fact",μόριον,6
ἀνοίγω,,open,ῥῆμα,6
βρυχάομαι,βρυχῶμαι,roar,ῥῆμα,6
διακόπτω,,cut (in two/through),ῥῆμα,6
εἰσελαύνω,,drive in,ῥῆμα,6
ἡβάω,ἡβῶ,be in youthful prime,ῥῆμα,6
κλάζω,,make a piercing sound,ῥῆμα,6
κλείω,,shut,ῥῆμα,6
ὀσφραίνομαι,,"smell, track",ῥῆμα,6
πέπτω,"πέττω, πέσσω","soften, ripen; cook; digest",ῥῆμα,6
περαίνω,,"finish, accomplish",ῥῆμα,6
τὸ δεσμωτήριον,,"prison, jail",ὄνομα,6
τὸ λίνον,,"cord, thread; linen",ὄνομα,6
ἡ μεσημβρία,,"mid-day, noon",ὄνομα,6
ὁ μοχλός,,"bar, lever, crowbar",ὄνομα,6
τὸ ξίφος,,sword,ὄνομα,6
ὁ παππίας,,daddy,ὄνομα,6
ὁ σκότος,,darkness,ὄνομα,6
τὸ στῆθος,,"chest, breast",ὄνομα,6
ἐπεὶ πρῶτον,,as soon as,λόγος,6
κατ᾽ ἔτος,,every year,λόγος,6
τὸ ἥμισυ,,half,λόγος,6
αἱρέω,αἱρῶ,take,ῥῆμα,7
ἐπαίρω,,"lift, raise",ῥῆμα,7
ἐπαίρω ἐμαυτόν,,get myself up,λόγος,7
εὑρίσκω,,find,ῥῆμα,7
ἰέναι,,to go,ῥῆμα,7
κελεύω,,"order, tell (s.o. to do something)",ῥῆμα,7
παρασκευάζω,,prepare,ῥῆμα,7
ὁ/ἡ αἴξ,,goat,ὄνομα,7
ἡ θάλαττα,,sea,ὄνομα,7
τὸ ὄνομα,,name,ὄνομα,7
ἡ πόλις,,city,ὄνομα,7
τίς,,who? which? what?,ἑρωτηματικὴ ἀντωνυμία,7
τις,,someone; something; anyone; anything; some; a(n),ἀόριστη ἀντωνυμία,7
"οὐδείς, οὐδεμία, οὐδέν",,no (one); nothing,ἀντωνυμία,7
ἐμαυτοῦ,,of oneself,αὐτοπαθὴ ἀντωνυμία,7
μέγιστος,,very large; very great; largest; greatest,ἐπίθετον,7
περί,,about (+gen); around (+acc),πρόθεσις,7
ἀποκρίνομαι,,answer,ῥῆμα,7
βάλλω,,"throw; put; pelt; hit, strike",ῥῆμα,7
μέλλω,,be about/destined (to); intend (to),ῥῆμα,7
ὁρμάω,ὁρμῶ,set in motion; start; rush,ῥῆμα,7
παύω,,stop; cease from,ῥῆμα,7
ὁ ξένος,,foreigner; stranger,ὄνομα,7
ὁ οἶνος,,wine,ὄνομα,7
ὁ ὀφθαλμός,,eye,ὄνομα,7
τὸ πῦρ,,fire,ὄνομα,7
ὁ χειμών,,storm; winter,ὄνομα,7
δύο,,two,ἐπίθετον,7
εἷς,,one,ἐπίθετον,7
πᾶς,,all; every; whole,ἐπίθετον,7
σώφρων,,of sound mind; prudent; self-controlled,ἐπίθετον,7
ἐνθάδε,,here; hither; there; thither,ἐπίρρημα,7
πόθεν,,from where? whence?,ἐπίρρημα,7
πῶς,,how?,ἐπίρρημα,7
ἀναπηδάω,ἀναπηδῶ,jump/stand (up),ῥῆμα,7
ἁρπάζω,,"snatch, seize",ῥῆμα,7
βληχάομαι,βληχῶμαι,bleat,ῥῆμα,7
δεύω,,"wet, moisten",ῥῆμα,7
ἐκπέμπω,,"send out, dispatch",ῥῆμα,7
ἐκρέω,,flow out,ῥῆμα,7
ἐξαίρω,,"lift up, exalt; arouse",ῥῆμα,7
θερμαίνω,,"warm, heat",ῥῆμα,7
κατεσθίω,,"eat up, devour",ῥῆμα,7
μεθύω,,be drunk,ῥῆμα,7
σφάττω,"σφάζω, σφάσσω","slay, slaughter",ῥῆμα,7
σωφρονέω,,be of sound mind,ῥῆμα,7
ὑπέχω,,"hold under; uphold, support",ῥῆμα,7
ὁ αἰγιαλός,,"shore, beach",ὄνομα,7
τὸ ἄντρον,,cave,ὄνομα,7
ὁ ἀσκός,,"hide, (wine) skin",ὄνομα,7
τὸ δέρμα,,"skin, hide",ὄνομα,7
ὁ ἐγκέφαλος,,brain,ὄνομα,7
ἡ εἴσοδος,,entrance,ὄνομα,7
ἡ εὐδία,,fair weather,ὄνομα,7
ὁ ἡγεμών,,leader,ὄνομα,7
ὁ καπνός,,smoke,ὄνομα,7
ἡ λαμπάς,,torch,ὄνομα,7
τὸ μέτωπον,,"brow, forehead",ὄνομα,7
ὁ μυχός,,"innermost part, nook, corner",ὄνομα,7
τὸ ποίμνιον,,flock,ὄνομα,7
τὸ ῥόπαλον,,"club, cudgel",ὄνομα,7
ὁ φθόγγος,,sound,ὄνομα,7
ἄφρων,,senseless,ἐπίθετον,7
πολύμητις,,"crafty, shrewd",ἐπίθετον,7
πολύτροπος,,"much-travelled, various",ἐπίθετον,7
σῶος,"σῶς, σόος","safe, whole",ἐπίθετον,7
φοβερός,,fearful,ἐπίθετον,7
ἔνδον,,within,ἐπίρρημα,7
διαλέγομαι,,"talk to, converse with",ῥῆμα,8
ἕπομαι,,follow (+dat),ῥῆμα,8
ἐργάζομαι,,work; accomplish,ῥῆμα,8
θεάομαι,,"see, watch, look at",ῥῆμα,8
τὸ ἄστυ,,city,ὄνομα,8
τὸ ἔργον,,work; deed,ὄνομα,8
ἡ ἑσπέρα,,evening,ὄνομα,8
ὁ θεός,,god,ὄνομα,8
ἡ θύρα,,door,ὄνομα,8
ὁ ποιητής,,poet,ὄνομα,8
ἐκεῖσε,,"to that place, thither",ἐπίρρημα,8
εὖ,,well,ἐπίρρημα,8
οἴκοι,,at home,ἐπίρρημα,8
ὥσπερ,,just as,ἐπίρρημα,8
ὅμως,,nevertheless,σύνδεσμος,8
ἐν ᾧ,,while,λόγος,8
εὖ γε,,good! well done!,λόγος,8
ἀναβαίνω,,"go up, get up; climb, go up onto",ῥῆμα,8
ἐγείρω,,wake X up; wake up,ῥῆμα,8
εὔχομαι,,pray (to); pray (that),ῥῆμα,8
ἡ ἀγορά,,"city center, market place",ὄνομα,8
ὁ βωμός,,altar,ὄνομα,8
ὁ νεανίας,,young man,ὄνομα,8
ὁ πολίτης,,citizen,ὄνομα,8
ἡ χείρ,,hand,πρόθεσις,8
τέλος,,"in the end, finally",ἐπίρρημα,8
ἐν...τούτῳ,,meanwhile,λόγος,8
τῇ ὑστεραίᾳ,,on the next day,λόγος,8
ἀνδρίζω,,make a man of,ῥῆμα,8
ἀνέλκω,,drag/draw up,ῥῆμα,8
ἀποβλέπω,,look to(wards),ῥῆμα,8
ἀτιμάζω,,dishonor,ῥῆμα,8
γνωρίζω,,make known; discover,ῥῆμα,8
γυμνάζω,,"train, exercise",ῥῆμα,8
διατρίβω,,rub away; waste/pass time,ῥῆμα,8
εἰσέρχομαι,,"go/come into, enter",ῥῆμα,8
ἐξάγω,,lead/carry out,ῥῆμα,8
ἐξηγέομαι,ἐξηγοῦμαι,relate,ῥῆμα,"8, 12"
ἐπιμελέομαι,ἐπιμελοῦμαι,take care for (+gen),ῥῆμα,"8, 24"
ἐπισκοπέω,ἐπισκοπῶ,"observe, examine, watch over",ῥῆμα,8
ἐρείδω,,"lean, prop, support",ῥῆμα,8
προσεύχομαι,,"offer prayers (to), worship",ῥῆμα,8
κατασκοπέω,κατασκοπῶ,"view closely, spy",ῥῆμα,8
παιδοποιέω,παιδοποιῶ,beget/bear children,ῥῆμα,8
περισκοπέω,περισκοπῶ,look around; observe carefully,ῥῆμα,8
τεκνοποιέομαι,τεκνοποιοῦμαι,breed children,ῥῆμα,8
τίκτω,,"give birth, beget",ῥῆμα,8
τρέφω,,thicken; rear; maintain,ῥῆμα,8
ὑπακούω,,hearken; make answer,ῥῆμα,8
ὑφαίνω,,weave,ῥῆμα,8
ἡ αὐλή,,court(yard); hall,ὄνομα,8
τὸ θέατρον,,theatre; play; spectacle,ὄνομα,8
ἡ ἰσχύς,,"strength, power",ὄνομα,8
ὁ λιμός,,"famine, hunger",ὄνομα,8
ὁ λυκοκτόνος,,wolf-slayer,ὄνομα,8
τὸ μῆλον,,sheep; apple,ὄνομα,8
ἡ στιβάς,ἡ στοιβάς,bed/mattress of straw/leaves; branch,ὄνομα,8
τὸ φύλλον,,"leaf, plant",ὄνομα,8
ὁ χρυσός,,gold (coin),ὄνομα,8
ἀφνειός,,"rich, wealthy",ἐπίθετον,8
πολύμηλος,,rich in flocks,ἐπίθετον,8
ἅμα τῇ ἡμέρᾳ,ἅμ ̓ ἡμέρᾳ,at daybreak,λόγος,8
ἐς ἀριθμόν,,in the amount (of),λόγος,8
κακῶς λέγω τινά,,speak ill of somone,λόγος,8
νὴ (τὸν) Δία,,"yes, by Zeus!",λόγος,8
τοῦ λοιποῦ,,"henceforth, in the future",λόγος,8
ἔστω,,so be it,ῥῆμα,8
ἄγε,,come on!,ῥῆμα,9
ἐπανέρχομαι,,"come back, return (to)",ῥῆμα,9
ἐσθίω,,eat,ῥῆμα,"9, 19"
κάμνω,,be sick; tired,ῥῆμα,9
πίνω,,drink,ῥῆμα,9
ἡ ἀριστερά,,left hand,ὄνομα,9
ἡ δεξιά,,right hand,ὄνομα,9
ἡ θεός,,goddess,ὄνομα,9
τὸ ἱερόν,,temple,ὄνομα,9
ὁ κίνδυνος,,danger,ὄνομα,9
κάλλιστος,,most/very beautiful,ἐπίθετον,9
διά,,through (+gen); because of (+acc),πρόθεσις,9
αὐξάνω,,increase,ῥῆμα,9
καίω,,"kindle, burn",ῥῆμα,9
σιγάω,σιγῶ,be silent,ῥῆμα,9
τέρπομαι,,enjoy o.s.; enjoy X (+dat),ῥῆμα,9
ὁ γέρων,,old man,ὄνομα,9
ὁ δῆμος,,the people,ὄνομα,"9, 23"
τὸ ἱερεῖον,,sacrifical victim,ὄνομα,9
ὁ ἱερεύς,,priest,ὄνομα,9
ὁ κῆρυξ,,herald,ὄνομα,9
ὁ οὐρανός,,"sky, heaven",ὄνομα,9
ἡ πομπή,,procession,ὄνομα,9
ἄριστος,,best; very good; noble,ἐπίθετον,9
γέρων,,old,ἐπίθετον,9
ἕτοιμος,ἑτοῖμος,ready,ἐπίθετον,9
ἵλεως,,"propitious, gracious; kind, gentle",ἐπίθετον,9
μέσος,,middle (of),ἐπίθετον,9
ἀνέχω,,hold up,ῥῆμα,9
ἀπολύω,,"loose from, release",ῥῆμα,9
γηράσκω,,grow old,ῥῆμα,9
διαιρέω,διαιρῶ,"take apart, divide",ῥῆμα,9
διηγέομαι,διηγοῦμαι,describe,ῥῆμα,9
δοκέω,δοκῶ,"think, expect; seem",ῥῆμα,9
εἰσκαλέω,εἰσκαλῶ,call in,ῥῆμα,9
καθίζομαι,,"sit down, take a seat",ῥῆμα,9
κατατέμνω,,"cut in pieces, cut up",ῥῆμα,9
κηρύττω,κηρύσσω,"summon, proclaim, announce",ῥῆμα,9
κοσμέω,κοσμῶ,"order, arrange; adorn",ῥῆμα,9
κωμάζω,,"revel, make merry",ῥῆμα,9
λάμπομαι,,shine,ῥῆμα,9
πεινάω,πεινῶ,be hungry,ῥῆμα,9
προσήκω,,have come; belong to; befit,ῥῆμα,9
ὠθίζομαι,,"justle, struggle",ῥῆμα,9
ὠνέομαι,ὠνοῦμαι,buy,ῥῆμα,9
τὸ ἄγαλμα,,"glory, gift, statue",ὄνομα,9
ὁ ἀλλαντοπώλης,,sausage-seller,ὄνομα,9
ὁ ἀλλᾶς,,sausage,ὄνομα,9
ὁ ἄναξ,,"lord, master",ὄνομα,9
ὁ βότρυς,,bunch of grapes,ὄνομα,9
ἡ δαίς,,"feast, banquet",ὄνομα,9
ἡ εἰκών,,"likeness, image",ὄνομα,9
τὸ κανοῦν,τὸ κάνεον,bread-basket,ὄνομα,9
τὸ κρέας,,"flesh, meat",ὄνομα,9
ὁ μέτοικος,,"metic, immigrant",ὄνομα,9
τὸ ὄναρ,,"dream, vision",ὄνομα,9
τὰ προπύλαια,,gateway of temples,ὄνομα,9
τὸ σκάφιον,,small bowl,ὄνομα,9
ἡ στοά,,roofed colonnade; storehouse,ὄνομα,9
τὰ ὤνια,,goods for sale,ὄνομα,9
ἐνόπλιος,,armored,ἐπίθετον,9
ἥσυχος,,quiet,ἐπίθετον,9
πολιοῦχος,,protecting a city,ἐπίθετον,9
σκοτεινός,,dark,ἐπίθετον,9
ἐκποδών,,out of the way,ἐπίρρημα,9
πόρρω,πρόσω,"forwards, onwards",ἐπίρρημα,9
χαμαί,,on the ground,ἐπίρρημα,9
ἐκποδὼν γίγνομαι,ἐκποδὼν γίνομαι,get out of the way,λόγος,9
ὀργίλος,,prone to anger,ἐπίρρημα,9
ὀργίλως ἔχω,,be angry,λόγος,9
νικάω,,defeat; win,ῥῆμα,10
καλῶς,,well,ἐπίρρημα,10
φεῦ,,alas!,ἐπιφώνημα,10
αἴρω,,lift; get up,ῥῆμα,10
