Lexical Form,"Alternative (e.g., Contracted) Form",Gloss,Part of Speech,Chapter(s)
παρακαλέω,,summon,ῥῆμα,27
φωνέω,,speak,ῥῆμα,27
τὸ ἀνάθημα,,temple offering,ὄνομα,27
ὁ ἀριθμός,,number,ὄνομα,27
τὸ δῶρον,,gift,ὄνομα,27
τὸ μαντεῖον,,oracle,ὄνομα,27
τὸ μέτρον,,measure,ὄνομα,27
τὸ ὅρκιον,,oath; treaty (pl),ὄνομα,27
τὸ στράτευμα,,army,ὄνομα,27
ἡ συμμαχία,,alliance,ὄνομα,27
ὁ χρησμός,,oracular response,ὄνομα,27
τὸ χρηστήριον,,oracular seat/response,ὄνομα,27
καρτερός,,strong; fierce,ἐπίθετον,27
οὐδέτερος,,neither,ἐπίθετον,27
ἄλλοσε,,to another place; to other places,ἐπίρρημα,27
ἄλλοι ἄλλοσε,,some to some places...others to other places,λόγος,27
ἀναστρέφω,,turn around,ῥῆμα,27
ἀνέχομαι,,turn around,ῥῆμα,27
ἱππεύω,,be a horseman; ride a horse,ῥῆμα,27
κτείνω,,kill,ῥῆμα,27
προστάττω,,command,ῥῆμα,27
φείδομαι,,spare (μὴν +gen),ῥῆμα,27
τὸ ἔθνος,,tribe; people,ὄνομα,27
τὸ ἱππικόν,,cavalry,ὄνομα,27
ὁ ἵππος,,horse,ὄνομα,27
ἡ ἵππος,,cavalry,ὄνομα,27
ἡ κάμηλος,,camel,ὄνομα,27
ὁ πεζός,,infantry,ὄνομα,27
ἄχρηστος,,useless,ἐπίθετον,27
δειλός,,cowardly,ἐπίθετον,27
ὅπισθε(ν),,behind (+gen),πρόθεσις,27
ὁπίσω,,backward,πρόθεσις,27
κατὰ τάχος,,quickly,λόγος,27
ἁλίσκομαι,,be caught; be taken,ῥῆμα,28
ἀναιρέομαι,,take up; pick up,ῥῆμα,28
διαφέρει,,it makes a ifference to (+dat),ῥῆμα,28
ἐπιβαίνω,,"get up on, mount (+gen); board (+dat)",ῥῆμα,28
κατακαίω,κατακτάω,burn completely,ῥῆμα,28
καταπαύω,,put an end to,ῥῆμα,28
πορθέω,,sack,ῥῆμα,28
προλέγω,,proclaim,ῥῆμα,28
ἡ ἀκρόπολις,,citadel,ὄνομα,28
ὁ δαίμων,,spirit; god; power controlling one's destiny,ὄνομα,28
τὸ δέος,,fear,ὄνομα,28
ἡ ζωή,,life,ὄνομα,28
ὁ ἱππεύς,,horseman; cavalryan,ὄνομα,28
ἡ πυρά,,funeral pyre,ὄνομα,28
εἴτε...εἴτε,,either...or,σύνδεσμος,28
